Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs,Filters,Est.  comp.,Mbits,P/B (hrs @17.6 kb/s),week,Description,Status
Opnav CA-8,,NAV,07-Feb,39,12:35,0:30,13:05,F,12,21,"1,0",2.5,13.02,0.2,99032,"OPNV_C_A_8: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",done
,,,07-Feb,39,13:30,7:00,20:30,,,,,,,,,,
,,,09-Feb,41,13:30,7:00,20:30,,,,,,,,,,
NIS ON,,NIS,10-Feb,41,19:30,,,,,,,,,,99039,,
NIS Caltarget N1,,NIS,10-Feb,41,21:30,0:32,22:02,,12,50,,,0.06,0.0,99039,NIS_Caltarg_N1: Standard Cruise CalTarget,done
Opnav CA-9,,NAV,10-Feb,42,3:05,0:30,3:35,F,12,21,"1,0",2.5,13.02,0.2,99039,"OPNV_C_A_9: 1x1 followed by 2x2 (green filter, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms).",
,34,,10-Feb,42,4:00,4:00,8:00,,,,,,,,,,
NIS Caltarget N2,,NIS,11-Feb,42,21:30,0:32,22:02,,12,50,,,0.06,0.0,99039,NIS_Caltarg_N2: Standard Cruise CalTarget,done
,,,12-Feb,43,13:30,7:00,20:30,,,,,,,,,,
Mono Light Curve Seq 4,,MSI,14-Feb,45,2:22,5:58,8:20,,12,56,0,2.5,34.72,0.6,99039,MSI_Lightcrv_4:1 clr filter image every 7.1 deg of rotation for 1.1 Eros rot.  Man exp 999 ms.,done
,,,14-Feb,46,13:30,7:00,20:30,,,,,,,,,,
,,,16-Feb,48,13:30,7:00,20:30,,,,,,,,,,
NIS Caltarget N3,,NIS,18-Feb,49,21:30,0:32,22:02,,12,50,,,0.06,0.0,99046,NIS_Caltarg_N3: Standard Cruise CalTarget,done
,,,19-Feb,50,1:00,4:00,5:00,,,,,,,,,,
,,,19-Feb,50,13:30,7:00,20:30,,,,,,,,,,
,,,22-Feb,53,13:30,7:00,20:30,,,,,,,,,,
,,,23-Feb,54,1:30,4:00,5:30,,,,,,,,,,
,,,24-Feb,55,13:30,7:00,20:30,,,,,,,,,,
,,,26-Feb,57,13:30,7:00,20:30,,,,,,,,,,
,,,01-Mar,60,13:30,7:00,20:30,,,,,,,,,,
,,,03-Mar,62,13:30,7:00,20:30,,,,,,,,,,
,,,05-Mar,64,0:45,4:00,4:45,,,,,,,,,,
,,,05-Mar,64,13:30,7:00,20:30,,,,,,,,,,
,,,08-Mar,67,13:30,6:30,20:00,,,,,,,,,,
,,,10-Mar,69,13:30,7:00,20:30,,,,,,,,,,
,,,12-Mar,71,0:45,4:00,4:45,,,,,,,,,,
,,,12-Mar,71,13:55,6:35,20:30,,,,,,,,,,
,,,15-Mar,74,13:30,7:00,20:30,,,,,,,,,,
,,,17-Mar,76,13:55,6:35,20:30,,,,,,,,,,
,,,19-Mar,78,13:30,7:00,20:30,,,,,,,,,,
,,,20-Mar,79,0:30,4:00,4:30,,,,,,,,,,
,,,22-Mar,81,13:30,7:00,20:30,,,,,,,,,,
,,,24-Mar,83,13:30,2:45,16:15,,,,,,,,,,
,,,26-Mar,85,13:30,3:35,17:05,,,,,,,,,,
NIS Caltarget N4,,NIS,29-Mar,88,21:30,0:32,22:02,,12,50,,,0.06,0.0,99074,NIS_Caltarg_N4: Standard Cruise CalTarget,done
,,,07-Apr,97,13:30,3:00,16:30,,,,,,,,,,
,,,09-Apr,99,13:30,3:55,17:25,,,,,,,,,,
,,,12-Apr,102,13:30,3:05,16:35,,,,,,,,,,
Dark Current,,MSI,13-Apr,103,4:00,0:10,4:10,,12,2,7,2.5,1.24,0.0,99102,MSI_Dark_1: 2 darks (filter 7; 10 msec and 999 msec),done
Star Cluster Calibration 1,,MSI,13-Apr,103,5:00,0:20,5:20,,12,5,0,2.5,3.10,0.1,99102,MSI_Starcal_1: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
Canopus Calibration 1  part 1,,MSI,13-Apr,103,6:30,0:40,7:10,,12,128,0-7,2.5,79.35,1.4,99102,"MSI_Cancal_1a: 16 images slewing across 2 pixels with Canopus, repeat (filters 0-7; man exp)",done
Mono Light Curve Seq 5,,MSI,14-Apr,104,5:45,5:58,11:43,,12,79,0,2.5,48.97,0.9,99102,MSI_Lightcrv_5:1 clr filter image every 5 deg of rotation for 1.1 Eros rot.  Man exp 999 ms.,done
,,,14-Apr,104,13:30,3:00,16:30,,,,,,,,,,
Canopus Calibration 1  part 2,,MSI,15-Apr,105,10:15,0:20,10:35,,12,64,"1,2,3,6",2.5,39.68,0.7,99102,"MSI_Cancal_1b: 16 images slewing across 2 pixels with Canopus, repeat (filters 1,2,3,6; man exp)",done
,,,16-Apr,106,13:30,3:05,16:35,,,,,,,,,,
NIS Caltarget N5,,NIS,19-Apr,109,21:30,0:32,22:02,,12,50,,,0.06,0.0,99102,NIS_Caltarg_N5: Standard Cruise CalTarget,done
,,,21-Apr,111,13:30,4:00,17:30,,,,,,,,,,
,,,22-Apr,112,13:30,3:15,16:45,,,,,,,,,,
,,,30-Apr,120,13:30,3:05,16:35,,,,,,,,,,
,,,10-May,130,23:20,4:00,3:20,,,,,,,,,,
,,,12-May,132,13:30,7:00,20:30,,,,,,,,,,
Star Cluster Calibration 2,,MSI,12-May,132,6:30,0:20,6:50,,12,5,0,2.5,3.10,0.1,99130,MSI_Starcal_2: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
