Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
High North 2x2_B4  (35N),,MSI,11-Mar,71,3:43,0:20,4:03,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
High North 2x2_B5  (35N),,MSI,11-Mar,71,5:15,0:20,5:35,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 8 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Opnav 71a N2,,NAV,11-Mar,71,5:43,0:25,6:08,,8,16,18,4,3,8.27,0.3,0.1,0.1,00066,Eros,4x4 mosaic in filter 4 (TABLE5+FAST),done
High North 2x2_B6 (35N0,,MSI,11-Mar,71,6:14,0:20,6:34,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position ,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Star Calibration 071,,NAV,11-Mar,71,06:30,00:25,06:55,,12,4,29,0,2.5,2.48,0.0,0.0,0.0,00066,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
NLR,,NLR,11-Mar,71,7:00,6:00,13:00,,,,,,,,,,,,,,
Opnav 71b N2,,NAV,11-Mar,71,13:30,0:20,13:50,,8,16,18,4,3,8.27,0.3,0.1,0.1,00066,Eros,4x4 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),43,,11-Mar,71,14:15,10:13,0:28,,,,,,,656.50,22.95,11.48,7.68,,,,
Opnav 72a M3,,NAV,12-Mar,72,0:30,0:20,0:50,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
Star Calibration 072,,NAV,12-Mar,72,01:00,00:25,01:25,,12,4,29,0,2.5,2.48,0.0,0.0,0.0,00066,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
NorthEquatorialLon1 (20N) ,,MSI,12-Mar,72,1:25,5:35,7:00,,12,288,18,4,2.5,178.54,6.3,3.1,2.1,00066,Eros,3x2 in filter 4 every15 deg for 1 rotation,done
Opnav 72b KF,,NAV,12-Mar,72,7:00,0:20,7:20,,8,6,18,4,3,3.10,0.1,0.1,0.0,00066,Eros,2x3 mosaic in filter 4 (TABLE5+FAST),done
Mid North  2x2_B1 (16N),,MSI,12-Mar,72,7:50,0:20,8:10,,12,16,24,"1,3,4,6",1.2,20.66,0.7,0.4,0.2,00066,Eros,2x2 with 7 filters at every position,done
,,,,,,,,,12,20,15,"1,3,4,6,1",1.2,25.83,0.9,0.5,0.3,00066,Eros,Clean (FAST),done
Mid North  2x2_B2 (16N),,MSI,12-Mar,72,8:37,0:20,8:57,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Mid North  2x2_B3 (16N) ,,MSI,12-Mar,72,9:00,0:20,9:20,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position ,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Mid North  2x2_B4 (16N),,MSI,12-Mar,72,11:25,0:20,11:45,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Opnav 72c M2,,NAV,12-Mar,72,12:55,0:20,13:15,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
Opnav 72d M2,,NAV,12-Mar,72,15:40,0:20,16:00,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),43,,12-Mar,72,16:15,7:48,0:03,,,,,,,481.68,16.86,8.43,5.64,,,,
Opnav 73a M3,,NAV,13-Mar,73,0:05,0:20,0:25,,8,12,18,4,3,6.20,0.2,0.1,0.1,00066,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
Equatorial  2x2_A1 (0N),,MSI,13-Mar,73,0:45,0:20,1:05,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Equatorial 2x2_A2 (0N),,MSI,13-Mar,73,1:04,0:20,1:24,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Equatorial  2x2_A3  (0N),,MSI,13-Mar,73,3:25,0:20,3:45,,12,28,22,1-7,1.2,36.16,1.3,0.6,0.4,00066,Eros,2x2 with 7 filters at every position ,done
,,,,,,,,,12,32,21,"1-7,1",1.2,41.33,1.5,0.7,0.5,00066,Eros,Clean (FAST),done
Equatorial  2x2_A4  (0N),,MSI,13-Mar,73,3:45,0:20,4:05,,12,13,22,1-7,1.2,16.79,0.6,0.3,0.2,00066,Eros,2x2 with 7 filters at every position,done
